0002.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
000-8.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0.0-09.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-0-1.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-01.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-0-2.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-02.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
002.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-0-3.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-0-4.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-04.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
004.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-0-5.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-05.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-0-6.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-06.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
00-6.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
007-4.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-0-7.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-07.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-0-8.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-08.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
00-8.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
008.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
00-93.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0096.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-0-9.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-09.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
009.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0.0.alpha.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-0.im.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
00.im.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-0.iph.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
00.iph.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-11.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
01-1.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
011.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
012.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-1-3.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
01-3.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-14.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-1-5.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
01-5.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
015.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-1-6.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-16.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
018-1.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-1-8.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
01-8.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-1-9.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-1.alpha.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
01.alpha.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-1.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0.1.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
01.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-1.im.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
01.im.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-1.iph.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
01.iph.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
02-01.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
02128.simulator-105.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-216.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-21.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
021.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
02-2.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-24.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
02-4.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
024.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-253.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-25-7.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-2-5.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
